iau_name ,alt_name        ,ra        ,dec      ,class         
2230+1128,CTA 102         ,22 32 36.3,+11 43 51,QSO RADIO LOUD
1635+1156,[HB89] 1635+119 ,16 37 48.7,+11 50 34,QSO RADIO LOUD
1629+1202,PKS 1629+120    ,16 31 45.1,+11 56 03,QSO RADIO LOUD
1040+1219,3C 245.0        ,10 42 44.6,+12 03 31,QSO RADIO LOUD
0041+1155,4C +11.06       ,00 44 34.8,+12 11 31,QSO RADIO LOUD
0319+1210,PKS 0319+12     ,03 21 53.0,+12 21 13,QSO RADIO LOUD
0748+1238,PKS 0748+126    ,07 50 52.0,+12 31 05,QSO RADIO LOUD
1116+1251,PKS 1116+12     ,11 18 57.3,+12 34 41,QSO RADIO LOUD
1118+1252,MC 1118+128     ,11 21 29.6,+12 36 17,QSO RADIO LOUD
1210+1324,DW 1211+13      ,12 13 32.0,+13 07 20,QSO RADIO LOUD
0838+1323,3C 207.0        ,08 40 47.5,+13 12 23,QSO RADIO LOUD
0528+1329,PKS 0528+134    ,05 30 56.4,+13 31 55,QSO RADIO LOUD
1530+1342,PKS 1530+13     ,15 33 15.0,+13 32 25,QSO RADIO LOUD
0850+1404,3C 208.0        ,08 53 08.6,+13 52 54,QSO RADIO LOUD
1211+1419,4C 14.46        ,12 14 26.4,+14 02 59,QSO RADIO LOUD
0851+1417,3C 208.1        ,08 54 39.3,+14 05 52,QSO RADIO LOUD
0855+1421,3C 212.0        ,08 58 41.4,+14 09 44,QSO RADIO LOUD
2247+1403,PKS 2247+14     ,22 50 25.2,+14 19 53,QSO RADIO LOUD
2136+1410,PKS 2136+141    ,21 39 01.2,+14 23 35,QSO RADIO LOUD
1111+1458,PKS 1111+149    ,11 13 58.6,+14 42 27,QSO RADIO LOUD
1652+1507,TEX 1652+151    ,16 54 51.7,+15 02 57,QSO RADIO LOUD
1522+1531,MC 1522+155     ,15 24 41.6,+15 21 21,QSO RADIO LOUD
0033+1536,MC 0033+156     ,00 35 55.6,+15 53 18,QSO RADIO LOUD
2251+1552,3C 454.3        ,22 53 57.6,+16 08 53,QSO RADIO LOUD
0003+1553,PKS 0003+15     ,00 05 59.2,+16 09 49,QSO RADIO LOUD
2314+1601,MC 2314+160     ,23 16 39.4,+16 17 56,QSO RADIO LOUD
1241+1639,3C 275.1        ,12 43 57.6,+16 22 53,QSO RADIO LOUD
1104+1644,MC 1104+167     ,11 07 15.0,+16 28 03,QSO RADIO LOUD
0518+1635,3C 138.0        ,05 21 09.8,+16 38 22,QSO RADIO LOUD
0903+1658,3C 215.0        ,09 06 31.8,+16 46 12,QSO RADIO LOUD
0852+1702,C078            ,08 55 03.6,+16 51 07,QSO RADIO LOUD
0008+1707,PKS 0008+171    ,00 10 33.9,+17 24 19,QSO RADIO LOUD
1433+1742,MC 1433+177     ,14 35 56.5,+17 29 35,QSO RADIO LOUD
1750+1734,TEX 1750+175    ,17 52 46.0,+17 34 21,QSO RADIO LOUD
1618+1743,3C 334.0        ,16 20 21.7,+17 36 23,QSO RADIO LOUD
2141+1730,OX 169          ,21 43 35.4,+17 43 49,QSO RADIO LOUD
1603+1755,1603.8+1756     ,16 06 01.2,+17 47 41,QSO RADIO LOUD
0136+1737,PKS 0136+176    ,01 39 41.9,+17 53 07,QSO RADIO LOUD
1606+1804,4C 18.47        ,16 09 11.3,+17 56 15,QSO RADIO LOUD
0630+1801,Q 0630+180      ,06 33 38.8,+17 59 33,QSO RADIO LOUD
1119+1821,H 1119+18       ,11 22 29.7,+18 05 26,QSO RADIO LOUD
1221+1837,4C 18.34        ,12 23 46.1,+18 21 07,QSO RADIO LOUD
1739+1829,4C +18.51       ,17 42 06.8,+18 27 17,QSO RADIO LOUD
1633+1837,TEX 1633+186    ,16 35 39.0,+18 31 09,QSO RADIO LOUD
0839+1846,DW 0839+18      ,08 42 05.0,+18 35 42,QSO RADIO LOUD
0033+1821,3C 14.0         ,00 36 06.4,+18 37 58,QSO RADIO LOUD
1245+1854,H 1245+18       ,12 48 06.9,+18 38 12,QSO RADIO LOUD
0854+1907,LB 8956         ,08 57 26.7,+18 55 24,QSO RADIO LOUD
2305+1845,PKS 2305+18     ,23 07 45.5,+19 01 21,QSO RADIO LOUD
1022+1927,4C 19.34        ,10 24 44.7,+19 12 20,QSO RADIO LOUD
1354+1933,PKS 1354+19     ,13 57 04.4,+19 19 06,QSO RADIO LOUD
0836+1932,4C 19.31        ,08 39 06.9,+19 21 49,QSO RADIO LOUD
0903+1953,[HB89] 0903+198 ,09 06 05.1,+19 41 54,QSO RADIO LOUD
1552+1956,PKS 1552+199    ,15 54 39.0,+19 47 18,QSO RADIO LOUD
1055+2007,PKS 1055+20     ,10 58 17.9,+19 51 51,QSO RADIO LOUD
2356+1938,PKS 2356+196    ,23 58 46.0,+19 55 21,QSO RADIO LOUD
